Fruits_Vegetables_Name,Nutrition_Facts,
Pomelo_Sweetie,Promotes weight loss. Rich in antioxidants. Boosts heart health. Has anti-aging properties. Antibacterial and antifungal. Fights cancer cells,
Potato,"Contains Antioxidants. Potatoes are rich in compounds like flavonoids, carotenoids and phenolic acids. Improve Blood Sugar Control. Improve Digestive Health.",
Quince,"Anti-inflammatory, helps weight loss, treats ulcers. Treats stomach ailments, antioxidants. Treats nausea and vomiting. Antiviral. Lowers blood pressure. Lowers cholesterol. Relieves stress. Treats Liver and eye disease.",
Rambutan,Decreases unwanted fat. The fruit can be effective in reducing the body's fat content because of its high fiber and water content and low calorie count.     Source of iron. ...     Skin and hair care. ...     Rich in Vitamin C. ...     Improves sperm quality. ...     Anti-Cancer.,Decreases unwanted fat due to high fiber and water content and low calorie count. Source of iron. Skin and hair care. Rich in Vitamin C. Improves sperm quality. Anti-Cancer
Raspberry,"They protect against diabetes, cancer, obesity, arthritis and provide anti-aging effects",
Redcurrant,"Helps to fortify the capillaries, protecting the body tissues and preventing Arteriosclerosis, Apoplexy and Diabetes.",
Salak,Improves eye sight. Good for Stomach. Memory booster. Control of blood sugar level. Maintain cardivascular health. Maintain stamana. Cure nearsightedness. Good for pregancy. Helps in weight loss.,
Strawberry,"Protect your heart, increase HDL (good) cholesterol, lower your blood pressure, and guard against Cancer.",
Tamarillo,"Responsible in helping reduce level of blood sugar, especially in people with type II Diabetes Mellitus. Has antioxidants which help to lessen the oxidative stress in the liver and pancreas",
Tangelo,"They are rich in dietary fiber, which aids in digestion and healthy bowels. They are also a good source of vitamin C, which aids in the growth and repair of tissues, and vitamin A, which helps boost the immune system.",
Tomato,"Good source of Vitamin C and Vitamin A, and are high in Lycopene which helps fight heart disease and some cancers.",
Walnut,Decrease inflammation. Promotes a healthy Gut. Reduce risk of Cancer. Supports weight control. Helps manage Type 2 Diabetes and lowers risk. Help lower blood pressure.,
Watermelon,"Helps hydration, contains nutrients and beneficial plant compounds, contains compounds that help prevent Cancer, improves Heart health, lowers inflammation and oxidative stress, helps prevent Macular Degeneration, helps relieve muscle soreness.",
